subjectID,prolificID,studyID,sessionID,DEBUG,age,demographicSubmitTS,gender,race,technicalIssues,feedbackSubmitTS,feedback
yco5,cfef,6914ebe81814f5c4d4daa911,69176e0715d21d20d559d429,0,57,1763143483166,Male,White,no,1763143488976,no
vqkn,61cd,6914ebe81814f5c4d4daa911,69177c55eed73570facd05f2,0,22,1763147186829,Female,Mixed race,,1763147188445,
pwj3,0009,6914ebe81814f5c4d4daa911,6917706198a50162482954fa,0,47,1763144145604,Male,White,none,1763144157812,none
f5f9,cd4d,6914ebe81814f5c4d4daa911,69177d4bbed457e58941bd67,0,42,1763147368722,Male,White,,1763147376636,
ozgt,52c8,6914ebe81814f5c4d4daa911,69178542f62be381995d8a03,0,56,1763149549320,Female,White,,1763149554940,
tqgy,7988,6914ebe81814f5c4d4daa911,69177dcafd3fd2a576403cc5,0,53,1763147484792,Male,White,,1763147486833,
plg5,2a8f,6914ebe81814f5c4d4daa911,69177dc1c71cdda29e3dd6a7,0,20,1763147589237,Female,Asian,,1763147590972,
8uma,9ef3,6914ebe81814f5c4d4daa911,69178e2dbde06233eb577635,0,31,1763151742670,Male,White,No,1763151758913,GREAT STUDY THANK YOU.
dhky,daaf,6914ebe81814f5c4d4daa911,69177cc4a705397222b5193c,0,30,1763147491687,Male,Black,no,1763147497955,no
dgu7,ea9b,6914ebe81814f5c4d4daa911,69177cd015d21d20d559d5ae,0,22,1763147264981,Female,White,No issues thank you.,1763147279454,Very fun to participate in.
o11k,647d,6914ebe81814f5c4d4daa911,691780962a15de4c1b9e6f00,0,47,1763148161505,Female,White,,1763148168749,no
w92d,b672,6914ebe81814f5c4d4daa911,69177cca60baa45f9ca7fd45,0,28,1763147443158,Female,White,Everything went great,1763147452412,
gcv4,5daa,6914ebe81814f5c4d4daa911,691786a6b25a73a3cba49f70,0,59,1763150189457,Prefer Not to Say,Prefer Not to Say,,1763150322759,It was very difficult to try and envisage how someone else of the general public would answer the questions...people all have individual traits and people might lie to look good too..but I tried to answer objectively as your requested...
6wka,5088,6914ebe81814f5c4d4daa911,69177fb10ba428e81bd8c3a5,0,38,1763148101485,Male,Black,no,1763148107268,no
