scaleID,scaleCategory,scaleText,scaleTextMin,scaleTextMax,comprehensionCheck,comprehensionCheckRequestedResponse,priorTrialIdx,priorSliderStart,priorResponse,priorRT,timeElapsed,subjectID,prolificID,studyID,sessionID,DEBUG
35,personality,I see myself as someone who generates a lot of enthusiasm,Strongly disagree,Strongly agree,0,,46,50,100,4022,587567,gcv4,5daa,6914ebe81814f5c4d4daa911,691786a6b25a73a3cba49f70,0
52,personality,I see myself as someone who does things efficiently,Strongly disagree,Strongly agree,0,,47,50,100,4294,591863,gcv4,5daa,6914ebe81814f5c4d4daa911,691786a6b25a73a3cba49f70,0
37,personality,I see myself as someone who tends to be disorganized,Strongly disagree,Strongly agree,0,,48,50,0,6686,598551,gcv4,5daa,6914ebe81814f5c4d4daa911,691786a6b25a73a3cba49f70,0
33,personality,I see myself as someone who can be tense,Strongly disagree,Strongly agree,0,,49,50,50,4621,603175,gcv4,5daa,6914ebe81814f5c4d4daa911,691786a6b25a73a3cba49f70,0
6,face processing,I see myself as someone who is dominant,Strongly disagree,Strongly agree,0,,50,50,49,3422,606599,gcv4,5daa,6914ebe81814f5c4d4daa911,691786a6b25a73a3cba49f70,0
62,personality,I see myself as someone who is easily distracted,Strongly disagree,Strongly agree,0,,51,50,52,3286,609887,gcv4,5daa,6914ebe81814f5c4d4daa911,691786a6b25a73a3cba49f70,0
36,personality,I see myself as someone who has a forgiving nature,Strongly disagree,Strongly agree,0,,52,50,100,4030,613919,gcv4,5daa,6914ebe81814f5c4d4daa911,691786a6b25a73a3cba49f70,0
18,face processing,I see myself as someone who is egotistic,Strongly disagree,Strongly agree,0,,53,50,0,5414,619335,gcv4,5daa,6914ebe81814f5c4d4daa911,691786a6b25a73a3cba49f70,0
46,personality,I see myself as someone who can be cold and aloof,Strongly disagree,Strongly agree,0,,54,50,0,12742,632079,gcv4,5daa,6914ebe81814f5c4d4daa911,691786a6b25a73a3cba49f70,0
24,personality,"I see myself as someone who is original, comes up with new ideas",Strongly disagree,Strongly agree,0,,55,50,100,4662,636743,gcv4,5daa,6914ebe81814f5c4d4daa911,691786a6b25a73a3cba49f70,0
15,face processing,I see myself as someone who is intelligent,Strongly disagree,Strongly agree,0,,56,50,100,4726,641471,gcv4,5daa,6914ebe81814f5c4d4daa911,691786a6b25a73a3cba49f70,0
4,demographic,How important would you say religion is in your own life?,Not very important,Very important,0,,57,50,51,4686,646159,gcv4,5daa,6914ebe81814f5c4d4daa911,691786a6b25a73a3cba49f70,0
57,personality,I see myself as someone who makes plans and follows through with them,Strongly disagree,Strongly agree,0,,58,50,100,6326,652487,gcv4,5daa,6914ebe81814f5c4d4daa911,691786a6b25a73a3cba49f70,0
19,face processing,I see myself as someone who is responsible,Strongly disagree,Strongly agree,0,,59,50,100,3526,656015,gcv4,5daa,6914ebe81814f5c4d4daa911,691786a6b25a73a3cba49f70,0
54,personality,I see myself as someone who prefers work that is routine,Strongly disagree,Strongly agree,0,,60,50,0,6574,662591,gcv4,5daa,6914ebe81814f5c4d4daa911,691786a6b25a73a3cba49f70,0
20,personality,I see myself as someone who is talkative,Strongly disagree,Strongly agree,0,,61,50,100,4894,667487,gcv4,5daa,6914ebe81814f5c4d4daa911,691786a6b25a73a3cba49f70,0
58,personality,I see myself as someone who gets nervous easily,Strongly disagree,Strongly agree,0,,62,50,0,4382,671871,gcv4,5daa,6914ebe81814f5c4d4daa911,691786a6b25a73a3cba49f70,0
3,demographic,How would you describe your political views?,Very conservative,Very liberal,0,,1,50,68,5201,35081,w92d,b672,6914ebe81814f5c4d4daa911,69177cca60baa45f9ca7fd45,0
59,personality,"I see myself as someone who likes to reflect, play with ideas",Strongly disagree,Strongly agree,0,,2,50,39,8057,43140,w92d,b672,6914ebe81814f5c4d4daa911,69177cca60baa45f9ca7fd45,0
62,personality,I see myself as someone who is easily distracted,Strongly disagree,Strongly agree,0,,3,50,80,7581,50722,w92d,b672,6914ebe81814f5c4d4daa911,69177cca60baa45f9ca7fd45,0
6,face processing,I see myself as someone who is dominant,Strongly disagree,Strongly agree,0,,4,50,88,4930,55653,w92d,b672,6914ebe81814f5c4d4daa911,69177cca60baa45f9ca7fd45,0
33,personality,I see myself as someone who can be tense,Strongly disagree,Strongly agree,0,,5,50,21,4524,60177,w92d,b672,6914ebe81814f5c4d4daa911,69177cca60baa45f9ca7fd45,0
2,demographic,I consider myself as:,Not at all masculine,Totally masculine,0,,6,50,42,8055,68234,w92d,b672,6914ebe81814f5c4d4daa911,69177cca60baa45f9ca7fd45,0
32,personality,I see myself as someone who is a reliable worker,Strongly disagree,Strongly agree,0,,7,50,81,10985,79220,w92d,b672,6914ebe81814f5c4d4daa911,69177cca60baa45f9ca7fd45,0
,ATTENTION CHECK,Please drag the slider all the way to the end labeled STRAWBERRY,STRAWBERRY,PINEAPPLE,1,0,8,50,0,8011,87233,w92d,b672,6914ebe81814f5c4d4daa911,69177cca60baa45f9ca7fd45,0
51,personality,I see myself as someone who is considerate and kind to almost everyone,Strongly disagree,Strongly agree,0,,9,50,89,13214,100449,w92d,b672,6914ebe81814f5c4d4daa911,69177cca60baa45f9ca7fd45,0
53,personality,I see myself as someone who remains calm in tense situations,Strongly disagree,Strongly agree,0,,10,50,96,8899,109348,w92d,b672,6914ebe81814f5c4d4daa911,69177cca60baa45f9ca7fd45,0
28,personality,"I see myself as someone who is relaxed, handles stress well",Strongly disagree,Strongly agree,0,,11,50,94,17657,127006,w92d,b672,6914ebe81814f5c4d4daa911,69177cca60baa45f9ca7fd45,0
60,personality,I see myself as someone who has few artistic interests,Strongly disagree,Strongly agree,0,,12,50,31,34258,161266,w92d,b672,6914ebe81814f5c4d4daa911,69177cca60baa45f9ca7fd45,0
63,personality,"I see myself as someone who is sophisticated in art, music, or literature",Strongly disagree,Strongly agree,0,,13,50,50,19378,180644,w92d,b672,6914ebe81814f5c4d4daa911,69177cca60baa45f9ca7fd45,0
26,personality,I see myself as someone who is helpful and unselfish with others,Strongly disagree,Strongly agree,0,,14,50,79,17581,198226,w92d,b672,6914ebe81814f5c4d4daa911,69177cca60baa45f9ca7fd45,0
27,personality,I see myself as someone who can be somewhat careless,Strongly disagree,Strongly agree,0,,15,50,13,12208,210434,w92d,b672,6914ebe81814f5c4d4daa911,69177cca60baa45f9ca7fd45,0
56,personality,I see myself as someone who is sometimes rude to others,Strongly disagree,Strongly agree,0,,16,50,8,8840,219275,w92d,b672,6914ebe81814f5c4d4daa911,69177cca60baa45f9ca7fd45,0
45,personality,I see myself as someone who has an assertive personality,Strongly disagree,Strongly agree,0,,17,50,77,2564,221841,w92d,b672,6914ebe81814f5c4d4daa911,69177cca60baa45f9ca7fd45,0
21,personality,I see myself as someone who tends to find fault with others,Strongly disagree,Strongly agree,0,,18,50,8,10838,232679,w92d,b672,6914ebe81814f5c4d4daa911,69177cca60baa45f9ca7fd45,0
,ATTENTION CHECK,Please drag the slider all the way to the end labeled HAMBURGER,HOTDOG,HAMBURGER,1,100,19,50,100,3578,236259,w92d,b672,6914ebe81814f5c4d4daa911,69177cca60baa45f9ca7fd45,0
31,personality,I see myself as someone who starts quarrels with others,Strongly disagree,Strongly agree,0,,20,50,9,12456,248715,w92d,b672,6914ebe81814f5c4d4daa911,69177cca60baa45f9ca7fd45,0
14,face processing,I see myself as someone who is weird,Strongly disagree,Strongly agree,0,,21,50,2,3386,252102,w92d,b672,6914ebe81814f5c4d4daa911,69177cca60baa45f9ca7fd45,0
15,face processing,I see myself as someone who is intelligent,Strongly disagree,Strongly agree,0,,22,50,95,14225,266329,w92d,b672,6914ebe81814f5c4d4daa911,69177cca60baa45f9ca7fd45,0
50,personality,"I see myself as someone who is sometimes shy, inhibited",Strongly disagree,Strongly agree,0,,23,50,29,3926,270255,w92d,b672,6914ebe81814f5c4d4daa911,69177cca60baa45f9ca7fd45,0
23,personality,"I see myself as someone who is depressed, blue",Strongly disagree,Strongly agree,0,,24,50,9,4579,274836,w92d,b672,6914ebe81814f5c4d4daa911,69177cca60baa45f9ca7fd45,0
5,face processing,I see myself as someone who is trustworthy,Strongly disagree,Strongly agree,0,,25,50,99,2983,277819,w92d,b672,6914ebe81814f5c4d4daa911,69177cca60baa45f9ca7fd45,0
8,face processing,I see myself as someone who is unhappy,Strongly disagree,Strongly agree,0,,26,50,4,5552,283373,w92d,b672,6914ebe81814f5c4d4daa911,69177cca60baa45f9ca7fd45,0
58,personality,I see myself as someone who gets nervous easily,Strongly disagree,Strongly agree,0,,27,50,17,2394,285767,w92d,b672,6914ebe81814f5c4d4daa911,69177cca60baa45f9ca7fd45,0
55,personality,"I see myself as someone who is outgoing, sociable",Strongly disagree,Strongly agree,0,,28,50,89,17494,303262,w92d,b672,6914ebe81814f5c4d4daa911,69177cca60baa45f9ca7fd45,0
12,face processing,I see myself as someone who is boring,Strongly disagree,Strongly agree,0,,29,50,5,5106,308369,w92d,b672,6914ebe81814f5c4d4daa911,69177cca60baa45f9ca7fd45,0
61,personality,I see myself as someone who likes to cooperate with others,Strongly disagree,Strongly agree,0,,30,50,69,5535,313906,w92d,b672,6914ebe81814f5c4d4daa911,69177cca60baa45f9ca7fd45,0
41,personality,I see myself as someone who is generally trusting,Strongly disagree,Strongly agree,0,,31,50,89,4346,318253,w92d,b672,6914ebe81814f5c4d4daa911,69177cca60baa45f9ca7fd45,0
18,face processing,I see myself as someone who is egotistic,Strongly disagree,Strongly agree,0,,32,50,5,8651,326905,w92d,b672,6914ebe81814f5c4d4daa911,69177cca60baa45f9ca7fd45,0
38,personality,I see myself as someone who worries a lot,Strongly disagree,Strongly agree,0,,33,50,21,2548,329455,w92d,b672,6914ebe81814f5c4d4daa911,69177cca60baa45f9ca7fd45,0
11,face processing,I see myself as someone who is mean,Strongly disagree,Strongly agree,0,,34,50,13,6138,335594,w92d,b672,6914ebe81814f5c4d4daa911,69177cca60baa45f9ca7fd45,0
16,face processing,I see myself as someone who is confident,Strongly disagree,Strongly agree,0,,35,50,91,2919,338514,w92d,b672,6914ebe81814f5c4d4daa911,69177cca60baa45f9ca7fd45,0
22,personality,I see myself as someone who does a thorough job,Strongly disagree,Strongly agree,0,,36,50,82,2839,341354,w92d,b672,6914ebe81814f5c4d4daa911,69177cca60baa45f9ca7fd45,0
57,personality,I see myself as someone who makes plans and follows through with them,Strongly disagree,Strongly agree,0,,37,50,92,3242,344597,w92d,b672,6914ebe81814f5c4d4daa911,69177cca60baa45f9ca7fd45,0
37,personality,I see myself as someone who tends to be disorganized,Strongly disagree,Strongly agree,0,,38,50,8,2843,347441,w92d,b672,6914ebe81814f5c4d4daa911,69177cca60baa45f9ca7fd45,0
47,personality,I see myself as someone who perseveres until the task is finished,Strongly disagree,Strongly agree,0,,39,50,90,9065,356507,w92d,b672,6914ebe81814f5c4d4daa911,69177cca60baa45f9ca7fd45,0
54,personality,I see myself as someone who prefers work that is routine,Strongly disagree,Strongly agree,0,,40,50,18,6306,362814,w92d,b672,6914ebe81814f5c4d4daa911,69177cca60baa45f9ca7fd45,0
13,face processing,I see myself as someone who is aggressive,Strongly disagree,Strongly agree,0,,41,50,6,3391,366206,w92d,b672,6914ebe81814f5c4d4daa911,69177cca60baa45f9ca7fd45,0
36,personality,I see myself as someone who has a forgiving nature,Strongly disagree,Strongly agree,0,,42,50,91,5176,371383,w92d,b672,6914ebe81814f5c4d4daa911,69177cca60baa45f9ca7fd45,0
34,personality,"I see myself as someone who is ingenious, a deep thinker",Strongly disagree,Strongly agree,0,,43,50,68,5135,376518,w92d,b672,6914ebe81814f5c4d4daa911,69177cca60baa45f9ca7fd45,0
25,personality,I see myself as someone who is reserved,Strongly disagree,Strongly agree,0,,44,50,89,2940,379460,w92d,b672,6914ebe81814f5c4d4daa911,69177cca60baa45f9ca7fd45,0
44,personality,I see myself as someone who is inventive,Strongly disagree,Strongly agree,0,,45,50,74,8188,387648,w92d,b672,6914ebe81814f5c4d4daa911,69177cca60baa45f9ca7fd45,0
1,demographic,I consider myself as:,Not at all feminine,Totally feminine,0,,46,50,40,4557,392206,w92d,b672,6914ebe81814f5c4d4daa911,69177cca60baa45f9ca7fd45,0
48,personality,I see myself as someone who can be moody,Strongly disagree,Strongly agree,0,,47,50,28,3484,395692,w92d,b672,6914ebe81814f5c4d4daa911,69177cca60baa45f9ca7fd45,0
19,face processing,I see myself as someone who is responsible,Strongly disagree,Strongly agree,0,,48,50,92,2393,398086,w92d,b672,6914ebe81814f5c4d4daa911,69177cca60baa45f9ca7fd45,0
4,demographic,How important would you say religion is in your own life?,Not very important,Very important,0,,49,50,63,2507,400593,w92d,b672,6914ebe81814f5c4d4daa911,69177cca60baa45f9ca7fd45,0
29,personality,I see myself as someone who is curious about many different things,Strongly disagree,Strongly agree,0,,50,50,83,6945,407539,w92d,b672,6914ebe81814f5c4d4daa911,69177cca60baa45f9ca7fd45,0
52,personality,I see myself as someone who does things efficiently,Strongly disagree,Strongly agree,0,,51,50,84,3188,410728,w92d,b672,6914ebe81814f5c4d4daa911,69177cca60baa45f9ca7fd45,0
42,personality,I see myself as someone who tends to be lazy,Strongly disagree,Strongly agree,0,,52,50,7,3014,413743,w92d,b672,6914ebe81814f5c4d4daa911,69177cca60baa45f9ca7fd45,0
24,personality,"I see myself as someone who is original, comes up with new ideas",Strongly disagree,Strongly agree,0,,53,50,92,3098,416841,w92d,b672,6914ebe81814f5c4d4daa911,69177cca60baa45f9ca7fd45,0
40,personality,I see myself as someone who tends to be quiet,Strongly disagree,Strongly agree,0,,54,50,76,3095,419938,w92d,b672,6914ebe81814f5c4d4daa911,69177cca60baa45f9ca7fd45,0
43,personality,"I see myself as someone who is emotionally stable, not easily upset",Strongly disagree,Strongly agree,0,,55,50,90,2612,422551,w92d,b672,6914ebe81814f5c4d4daa911,69177cca60baa45f9ca7fd45,0
46,personality,I see myself as someone who can be cold and aloof,Strongly disagree,Strongly agree,0,,56,50,5,4246,426799,w92d,b672,6914ebe81814f5c4d4daa911,69177cca60baa45f9ca7fd45,0
39,personality,I see myself as someone who has an active imagination,Strongly disagree,Strongly agree,0,,57,50,95,3258,430058,w92d,b672,6914ebe81814f5c4d4daa911,69177cca60baa45f9ca7fd45,0
30,personality,I see myself as someone who is full of energy,Strongly disagree,Strongly agree,0,,58,50,89,3722,433781,w92d,b672,6914ebe81814f5c4d4daa911,69177cca60baa45f9ca7fd45,0
49,personality,"I see myself as someone who values artistic, aesthetic experiences",Strongly disagree,Strongly agree,0,,59,50,91,2081,435862,w92d,b672,6914ebe81814f5c4d4daa911,69177cca60baa45f9ca7fd45,0
20,personality,I see myself as someone who is talkative,Strongly disagree,Strongly agree,0,,60,50,70,1987,437850,w92d,b672,6914ebe81814f5c4d4daa911,69177cca60baa45f9ca7fd45,0
17,face processing,I see myself as someone who is caring,Strongly disagree,Strongly agree,0,,61,50,94,2061,439911,w92d,b672,6914ebe81814f5c4d4daa911,69177cca60baa45f9ca7fd45,0
35,personality,I see myself as someone who generates a lot of enthusiasm,Strongly disagree,Strongly agree,0,,62,50,87,2314,442226,w92d,b672,6914ebe81814f5c4d4daa911,69177cca60baa45f9ca7fd45,0
27,personality,I see myself as someone who can be somewhat careless,Strongly disagree,Strongly agree,0,,1,50,19,20772,68596,6wka,5088,6914ebe81814f5c4d4daa911,69177fb10ba428e81bd8c3a5,0
38,personality,I see myself as someone who worries a lot,Strongly disagree,Strongly agree,0,,2,50,49,9218,77815,6wka,5088,6914ebe81814f5c4d4daa911,69177fb10ba428e81bd8c3a5,0
36,personality,I see myself as someone who has a forgiving nature,Strongly disagree,Strongly agree,0,,3,50,71,6911,84727,6wka,5088,6914ebe81814f5c4d4daa911,69177fb10ba428e81bd8c3a5,0
52,personality,I see myself as someone who does things efficiently,Strongly disagree,Strongly agree,0,,4,50,78,7119,91848,6wka,5088,6914ebe81814f5c4d4daa911,69177fb10ba428e81bd8c3a5,0
11,face processing,I see myself as someone who is mean,Strongly disagree,Strongly agree,0,,5,50,5,4871,96721,6wka,5088,6914ebe81814f5c4d4daa911,69177fb10ba428e81bd8c3a5,0
58,personality,I see myself as someone who gets nervous easily,Strongly disagree,Strongly agree,0,,6,50,66,3592,100315,6wka,5088,6914ebe81814f5c4d4daa911,69177fb10ba428e81bd8c3a5,0
42,personality,I see myself as someone who tends to be lazy,Strongly disagree,Strongly agree,0,,7,50,52,3599,103915,6wka,5088,6914ebe81814f5c4d4daa911,69177fb10ba428e81bd8c3a5,0
14,face processing,I see myself as someone who is weird,Strongly disagree,Strongly agree,0,,8,50,18,4112,108028,6wka,5088,6914ebe81814f5c4d4daa911,69177fb10ba428e81bd8c3a5,0
33,personality,I see myself as someone who can be tense,Strongly disagree,Strongly agree,0,,9,50,42,3681,111710,6wka,5088,6914ebe81814f5c4d4daa911,69177fb10ba428e81bd8c3a5,0
50,personality,"I see myself as someone who is sometimes shy, inhibited",Strongly disagree,Strongly agree,0,,10,50,66,4780,116492,6wka,5088,6914ebe81814f5c4d4daa911,69177fb10ba428e81bd8c3a5,0
12,face processing,I see myself as someone who is boring,Strongly disagree,Strongly agree,0,,11,50,8,4844,121337,6wka,5088,6914ebe81814f5c4d4daa911,69177fb10ba428e81bd8c3a5,0
13,face processing,I see myself as someone who is aggressive,Strongly disagree,Strongly agree,0,,12,50,3,2632,123970,6wka,5088,6914ebe81814f5c4d4daa911,69177fb10ba428e81bd8c3a5,0
54,personality,I see myself as someone who prefers work that is routine,Strongly disagree,Strongly agree,0,,13,50,51,6646,130618,6wka,5088,6914ebe81814f5c4d4daa911,69177fb10ba428e81bd8c3a5,0
,ATTENTION CHECK,Please drag the slider all the way to the end labeled STRAWBERRY,STRAWBERRY,PINEAPPLE,1,0,14,50,0,9417,140036,6wka,5088,6914ebe81814f5c4d4daa911,69177fb10ba428e81bd8c3a5,0
40,personality,I see myself as someone who tends to be quiet,Strongly disagree,Strongly agree,0,,15,50,23,13555,153592,6wka,5088,6914ebe81814f5c4d4daa911,69177fb10ba428e81bd8c3a5,0
,ATTENTION CHECK,Please drag the slider all the way to the end labeled HAMBURGER,HOTDOG,HAMBURGER,1,100,16,50,100,4561,158155,6wka,5088,6914ebe81814f5c4d4daa911,69177fb10ba428e81bd8c3a5,0
39,personality,I see myself as someone who has an active imagination,Strongly disagree,Strongly agree,0,,17,50,74,8462,166618,6wka,5088,6914ebe81814f5c4d4daa911,69177fb10ba428e81bd8c3a5,0
37,personality,I see myself as someone who tends to be disorganized,Strongly disagree,Strongly agree,0,,18,50,32,4098,170717,6wka,5088,6914ebe81814f5c4d4daa911,69177fb10ba428e81bd8c3a5,0
31,personality,I see myself as someone who starts quarrels with others,Strongly disagree,Strongly agree,0,,19,50,58,8379,179097,6wka,5088,6914ebe81814f5c4d4daa911,69177fb10ba428e81bd8c3a5,0
20,personality,I see myself as someone who is talkative,Strongly disagree,Strongly agree,0,,20,50,70,3382,182481,6wka,5088,6914ebe81814f5c4d4daa911,69177fb10ba428e81bd8c3a5,0
