"","subjectID","prolificID","studyID","sessionID","DEBUG","age","demographicSubmitTS","gender","race","technicalIssues","feedbackSubmitTS","feedback"
"18","0t4ord7w1g","5f489766dbc4a2364c0f4f93","6914ebe81814f5c4d4daa911","69178be9f477952214a8f209",0,67,1763151114461,"Female","White","none",1763151125501,"no"
"19","l6rw7vu0me","67f2ecf2ef369d872787cfb8","6914ebe81814f5c4d4daa911","69178e8a81a13893497d32b7",0,25,1763151818474,"Male","Other","None",1763151832252,"N/A"
"20","og416e24b3","5e9ffa9ee172201b04f1a4c6","6914ebe81814f5c4d4daa911","69177ccbfbab0cbbbd100225",0,43,1763147596353,"Female","White","No",1763147609044,"Thanks"
"21","jonr5k737q","5f356cbffb4cea5170d04fd9","6914ebe81814f5c4d4daa911","6917845236b2bc4d5d4716fe",0,31,1763149331738,"Male","White",NA,1763149346465,NA
"22","fppm6z9oj5","5f4a4da1575d605c43bef871","6914ebe81814f5c4d4daa911","69177579bb4ce3d90233dea6",0,67,1763145476900,"Female","White","no",1763145520933,"Interesting survey. Id love to know my results on how accurate/inaccurate I was"
"23","ttsn2kozxj","65614c86be0b8460a11d0b64","6914ebe81814f5c4d4daa911","6917872bed623ecf7ed12663",0,32,1763150455215,"Male","White",NA,1763150457396,NA
"24","gzv5t0czpv","5d37d2861566530016a061de","6914ebe81814f5c4d4daa911","69177faea26d703383040275",0,48,1763148182979,"Male","White","none",1763148191431,"thank you"
"25","5dkmyje1go","67745cfb4893225ef8d4bc4a","6914ebe81814f5c4d4daa911","69177cd17a693fd14d024028",0,22,1763147348998,"Male","White","n/a",1763147354829,"n/a"
"26","jcm5cm9sh0","65b92135e296f28cb1a093c3","6914ebe81814f5c4d4daa911","6917829f583d322e077eb3f0",0,67,1763148851693,"Male","White","no",1763148859133,"no"
"27","8zvs4bpbvx","5ead58cf86ea9b025ef6c153","6914ebe81814f5c4d4daa911","69177c89c52e54e531afc09e",0,69,1763147730942,"Male","White","All good",1763147753128,"All good."
"28","ylnwfku9cf","59f226a9d6380600018b2923","6914ebe81814f5c4d4daa911","69177d50f6e095ad23887ed5",0,61,1763147592185,"Female","White","no",1763147603249,"no"
"29","3ydkcn9bb8","62a24e0b662fd676ce5c1189","6914ebe81814f5c4d4daa911","69178393c52e54e531afc546",0,27,1763149103484,"Male","White","none",1763149110726,"no"
"30","wmm7xzdymq","56b78f11e77ebe000cbefe79","6914ebe81814f5c4d4daa911","69177d724668fefcc4d60dd6",0,60,1763147417078,"Female","White","no",1763147429461,"no"
"31","sj63e6shbj","63748732f140188d25f70dbf","6914ebe81814f5c4d4daa911","691780a21d846e634bafc676",0,58,1763148428545,"Male","White","NO",1763148451567,"NO"
"32","dy8n8j1s3h","5ec28db2622c500632dc95bc","6914ebe81814f5c4d4daa911","6917723c4104d16e4f1796bd",0,40,1763145310634,"Female","White",NA,1763145315710,NA
"33","2ufwnee00d","5c1021a547d07800011a23de","6914ebe81814f5c4d4daa911","69177e86155c245f27f66427",0,67,1763147650752,"Female","White","no",1763147658579,"no"
"34","sv5rfmcrcn","66a807a37c3608e587480d4f","6914ebe81814f5c4d4daa911","69177d4415ff1dedceea2e5f",0,30,1763147292916,"Male","White","No",1763147298364,"No"
"35","lu3l5fdcs0","5efe6daf6a2551378201893e","6914ebe81814f5c4d4daa911","69178061d5870b4f8649faaf",0,54,1763148205295,"Male","White","none",1763148215122,"nothing"
"36","qqwfeyq0vr","5e3d2ab94aebac111b5f6cd2","6914ebe81814f5c4d4daa911","69177d4744ff6d5eab3935d0",0,63,1763147566995,"Male","White","No",1763147580990,NA
"37","qw1smryco5","6268f4810cd59e084565cfef","6914ebe81814f5c4d4daa911","69176e0715d21d20d559d429",0,57,1763143483166,"Male","White","no",1763143488976,"no"
"38","pbljq0vqkn","6715b0cc1fca13ce9bee61cd","6914ebe81814f5c4d4daa911","69177c55eed73570facd05f2",0,22,1763147186829,"Female","Mixed race",NA,1763147188445,NA
"39","3azgbapwj3","594a481105e73f0001450009","6914ebe81814f5c4d4daa911","6917706198a50162482954fa",0,47,1763144145604,"Male","White","none",1763144157812,"none"
"40","suf0u5f5f9","5acbd1ecf69e940001d9cd4d","6914ebe81814f5c4d4daa911","69177d4bbed457e58941bd67",0,42,1763147368722,"Male","White","n/a",1763147376636,"n/a"
"41","ajnl5wozgt","5a2c51740a1e6b00016952c8","6914ebe81814f5c4d4daa911","69178542f62be381995d8a03",0,56,1763149549320,"Female","White",NA,1763149554940,NA
"42","ou0otatqgy","628b8fb9d25b3424dd467988","6914ebe81814f5c4d4daa911","69177dcafd3fd2a576403cc5",0,53,1763147484792,"Male","White",NA,1763147486833,NA
"43","s9rhvaplg5","656a02c7b6729e5b80412a8f","6914ebe81814f5c4d4daa911","69177dc1c71cdda29e3dd6a7",0,20,1763147589237,"Female","Asian",NA,1763147590972,NA
"44","pc69hp8uma","66b8830e5812d8df82589ef3","6914ebe81814f5c4d4daa911","69178e2dbde06233eb577635",0,31,1763151742670,"Male","White","No",1763151758913,"GREAT STUDY THANK YOU."
"45","3x595ddhky","6658cde9512e51fc8120daaf","6914ebe81814f5c4d4daa911","69177cc4a705397222b5193c",0,30,1763147491687,"Male","Black","no",1763147497955,"no"
"46","upz3cldgu7","665a16dd2db5a0dff976ea9b","6914ebe81814f5c4d4daa911","69177cd015d21d20d559d5ae",0,22,1763147264981,"Female","White","No issues thank you.",1763147279454,"Very fun to participate in."
"47","mb8p0no11k","66305c77f66c14d7ca20647d","6914ebe81814f5c4d4daa911","691780962a15de4c1b9e6f00",0,47,1763148161505,"Female","White","None",1763148168749,"no"
"48","kgutkcw92d","5fa2b9a3c1d67f3a311db672","6914ebe81814f5c4d4daa911","69177cca60baa45f9ca7fd45",0,28,1763147443158,"Female","White","Everything went great",1763147452412,NA
"49","wqn0gcgcv4","660d6a1f4a7f1337de235daa","6914ebe81814f5c4d4daa911","691786a6b25a73a3cba49f70",0,59,1763150189457,"Prefer Not to Say","Prefer Not to Say","N/A",1763150322759,"It was very difficult to try and envisage how someone else of the general public would answer the questions...people all have individual traits and people might lie to look good too..but I tried to answer objectively as your requested..."
"50","qrkpq86wka","60cb3c4b9454f7a196355088","6914ebe81814f5c4d4daa911","69177fb10ba428e81bd8c3a5",0,38,1763148101485,"Male","Black","no",1763148107268,"no"
